,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
627,Luxury Private 2BRs Apt  Perfect for a getaway. 💖💎,121,4.94,5.0,4.9,5.0,4.8,5.0,5.0,32,32,100,5,6,2,1,1.0,1,brooklyn,house,1,1,1,1
628,Garage studio,99,4.83,5.0,5.0,5.0,4.7,5.0,5.0,6,6,100,38,3,1,1,1.0,0,brooklyn,house,1,1,1,1
629,Adassa's Place,81,4.83,4.9,4.9,4.9,4.7,4.9,4.8,42,42,100,19,2,1,1,1.0,0,brooklyn,apartment,1,1,1,1
630,Cozy Mini Studio Prvt Bath & Kitchen 15 Mins JFK,62,4.57,4.5,4.8,4.9,4.5,4.9,4.7,192,309,100,49,2,0,1,1.0,1,brooklyn,apartment,1,1,1,1
631,"Suite1 private bathroom, separate entry for adults",102,4.86,5.0,4.9,5.0,4.8,5.0,4.8,95,196,100,59,2,1,1,1.0,1,brooklyn,private room,1,1,1,0
632,Red Brick Landmark Home,147,4.67,4.8,4.3,5.0,4.8,5.0,4.5,6,6,100,5,4,2,3,1.0,0,brooklyn,apartment,1,1,1,1
633,"Newly Remodeled 1 Bedroom Apartment, w Central Air",138,5.0,5.0,5.0,5.0,5.0,4.7,5.0,6,6,100,5,4,1,1,1.0,0,brooklyn,apartment,1,1,1,1
634,Bushwick Garden Apartment,140,4.93,4.9,4.9,4.9,4.8,5.0,4.9,109,109,100,75,4,1,2,1.0,1,brooklyn,apartment,1,1,1,1
635,Grateful Guest House,91,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,4,100,1,2,1,0,1.0,0,brooklyn,house,1,1,1,0
636,Basin Homes,78,4.82,4.8,4.9,4.8,4.7,4.9,4.9,157,307,96,21,4,1,1,1.0,0,brooklyn,apartment,1,1,1,1
637,Private space in Brooklyn,115,4.9,5.0,5.0,5.0,4.8,5.0,4.9,180,219,100,88,2,0,1,1.0,1,brooklyn,private room,1,1,1,1
638,"Suite2 for adults private bathroom, separate entry",100,4.88,5.0,5.0,5.0,4.8,5.0,4.9,76,196,100,59,2,1,1,1.0,1,brooklyn,private room,1,1,1,0
639,RV next to Coney Island Lighthouse,75,4.85,4.8,4.9,4.9,4.9,4.9,4.9,48,7,100,33,2,1,2,1.0,0,brooklyn,private room,1,1,1,1
640,Home Sweet Home,138,4.92,4.9,5.0,5.0,5.0,5.0,4.8,224,224,100,58,4,1,2,1.0,1,brooklyn,apartment,1,1,1,0
641,Zen Private Bedroom in Brooklyn Gem,75,4.94,5.0,5.0,5.0,4.9,5.0,4.9,33,33,100,92,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
642,4B Private Room & Bathroom in Sunset Park,61,4.91,5.0,4.9,5.0,4.8,4.9,4.8,45,249,98,13,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
643,Light-Filled Haven in Park Slope,140,4.99,5.0,5.0,5.0,5.0,5.0,4.9,70,70,100,85,2,1,1,1.0,1,brooklyn,apartment,1,1,1,1
644,"Cozy, Confortable and Nice place in Bay Ridge",54,4.66,4.7,4.8,4.9,4.8,4.8,4.8,98,98,94,29,3,1,1,1.0,0,brooklyn,private room,1,1,1,1
645,Brand New Bright and Clean Private two bedrooms,128,4.4,4.8,4.0,4.4,4.2,4.2,4.2,5,19,100,24,4,2,2,1.0,0,brooklyn,house,1,1,1,1
646,2 Renovated two bedroom apartment,120,4.73,4.9,4.9,5.0,4.8,5.0,4.8,55,249,98,13,4,2,2,2.0,1,brooklyn,condo,1,1,1,1
647,"Cozy, comfortable and tidy room in Bay Ridge",49,4.8,4.7,4.9,4.9,4.8,5.0,4.8,45,45,100,24,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
648,3A Sunset Park New Private Room & Bathroom,66,4.87,5.0,5.0,4.8,4.9,4.9,4.8,38,249,98,13,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
649,Deluxe Modern Private Apartment in Bay Ridge,139,4.31,4.2,4.4,4.5,4.5,4.6,4.3,112,112,100,11,12,2,2,1.0,0,brooklyn,condo,1,1,1,1
650,"Big Room, kitchen bathroom & Patio Brooklyn NY",66,4.94,4.9,4.9,5.0,4.9,5.0,4.9,72,215,93,65,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
651,Brooklyn home  Cozy apartment,147,4.46,4.5,4.6,4.5,4.7,4.7,4.4,50,50,100,22,4,2,2,1.0,0,brooklyn,condo,1,1,1,1
652,Best location in Bay Ridge. Cozy and private room.,54,4.73,4.6,4.8,4.8,4.8,4.7,4.8,38,40,90,28,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
653,Bay Ridge Bklyn entire spacious Basement Apartment,140,4.61,4.4,4.7,4.8,4.7,4.9,4.6,57,57,100,64,6,2,4,1.0,0,brooklyn,house,1,1,1,1
654,Brooklyn’s lovely Luxurious Suite sleeps 5,240,4.92,4.9,4.9,4.9,4.9,4.9,4.8,144,144,100,56,5,1,2,1.0,1,brooklyn,private room,1,1,1,1
655,Beach Getaway!  A breezy vacation home.,171,4.86,4.8,5.0,5.0,4.9,4.9,5.0,22,22,100,18,4,2,6,1.0,0,brooklyn,private room,1,1,1,1
